prompt
"Hotograph beautiful scenery nature mountains alps river rapids snow sky cumulus clouds."
"Majestic peaks of the Alps, bathed in a golden sunrise glow."
"Pristine snow-capped mountains, towering above a serene valley."
"Crystal clear river rapids, carving through rugged alpine terrain."
"A tranquil alpine lake, reflecting the majestic mountain skyline."
"Rolling hills, blanketed in a lush, verdant carpet of grass."
"A meandering mountain stream, sparkling under the midday sun."
"Majestic snow-capped mountain ranges, stretching as far as the eye can see."
"A picturesque mountain village, nestled in the heart of the Alps."
"A breathtaking vista of the Alps, with a sky full of fluffy cumulus clouds."
"Alpine wildflowers, vibrant and colorful against a backdrop of snow and rock."
"The powerful rush of a waterfall, cascading down a rugged mountain face."
"A serene mountain meadow, dotted with wildflowers and framed by towering peaks."
"The serene beauty of a mountain sunrise, with the first light touching the snowy peaks."
"A dramatic mountain landscape, with dark storm clouds gathering overhead."
"The tranquility of a mountain forest, with the sound of a gentle brook in the distance."
"A panoramic view of the Alps, with a winding river cutting through the valley below."
"The rugged beauty of a mountain pass, with a sheer cliff face rising on one side."
"The awe-inspiring sight of a mountain glacier, slowly moving and carving the landscape."
"A mountain trail, winding its way through a lush, green forest towards a distant peak."
"The stunning sight of a mountain range at sunset, with the sky painted in vibrant hues of orange and pink."
